,Mock_A,Mock_B,Mock_C,Mock_D,Time12_A,Time12_B,Time12_C,Time12_D,Time24_A,Time24_B,Time24_C,Time24_D,Time72_A,Time72_B,Time72_C,Time72_D
Ca_02237.1|Ca_LG_1:33803730-33806357|minus|,1130,1088,999,1058,5235,5703,7128,5533,7998,7991,4338,3379,468,1274,1111,90
Ca_02238.1|Ca_LG_1:33818453-33819603|plus|,4,23,3,5,12,5,4,5,11,4,3,7,1,0,1,0
Ca_02239.1|Ca_LG_1:33819889-33821557|minus|,0,127,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Ca_02240.1|Ca_LG_1:33827946-33834765|plus|,172,196,173,172,249,117,222,144,271,550,191,66,52,36,82,7
Ca_02241.1|Ca_LG_1:33838816-33839136|plus|,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ca_02242.1|Ca_LG_1:33839840-33845220|minus|,73,129,81,61,156,118,258,102,314,647,259,139,51,62,47,2
Ca_02243.1|Ca_LG_1:33846621-33850848|minus|,1,1,0,9,49,4,60,26,29,35,12,41,53,41,70,9
Ca_02244.1|Ca_LG_1:33856411-33864128|minus|,2,7,8,1,3,1,1,0,1,4,0,2,0,3,1,0
Ca_02245.1|Ca_LG_1:33866613-33868148|plus|,8,20,5,15,1,0,4,0,0,0,0,0,0,0,0,0
Ca_02246.1|Ca_LG_1:33869274-33875870|minus|,385,451,371,463,226,350,365,254,365,985,509,101,40,72,65,6
Ca_02247.1|Ca_LG_1:33882020-33887409|plus|,132,275,91,127,2,7,15,2,10,33,9,0,0,0,0,0
Ca_02248.1|Ca_LG_1:33889105-33894817|minus|,118,346,108,124,201,131,266,130,171,575,280,46,0,1,9,0
Ca_02249.1|Ca_LG_1:33896484-33902207|minus|,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02250.1|Ca_LG_1:33924164-33927999|plus|,573,629,486,627,657,669,606,540,479,1154,655,213,45,73,109,2
Ca_02251.1|Ca_LG_1:33930199-33934332|minus|,236,244,166,290,124,190,258,87,254,653,308,55,1,1,10,0
Ca_02252.1|Ca_LG_1:33937902-33944105|minus|,99,117,56,68,355,190,287,301,278,486,275,172,72,134,126,13
Ca_02252.2|Ca_LG_1:33937902-33944105|minus|,2,10,2,9,28,3,19,9,14,68,28,10,2,2,19,0
Ca_02253.1|Ca_LG_1:33948595-33949602|minus|,32,44,26,40,30,11,23,30,28,52,12,9,4,8,2,0
Ca_02254.1|Ca_LG_1:33960878-33966060|minus|,145,808,135,119,654,471,1095,197,329,1306,1159,91,0,0,0,0
Ca_02255.1|Ca_LG_1:33969166-33971843|minus|,172,187,125,200,159,86,119,111,147,419,140,68,3,0,5,3
Ca_02256.1|Ca_LG_1:33974472-33976402|plus|,1,2,0,2,8,16,23,2,3,53,16,2,0,0,1,0
Ca_02257.1|Ca_LG_1:33983781-33984617|plus|,32,83,19,19,284,179,195,55,75,425,126,130,0,3,2,0
Ca_02258.1|Ca_LG_1:34006726-34008931|plus|,890,574,714,1056,2405,991,1303,1034,2908,9772,1706,156,11,1,15,1
Ca_02259.1|Ca_LG_1:34020641-34021915|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02260.1|Ca_LG_1:34022982-34023752|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02261.1|Ca_LG_1:34025395-34032111|plus|,11,23,9,18,17,22,30,15,42,139,62,13,6,16,16,0
Ca_02262.1|Ca_LG_1:34039983-34042946|plus|,389,481,377,611,822,738,760,818,673,1441,636,428,127,151,243,24
Ca_02263.1|Ca_LG_1:34044777-34045058|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02264.1|Ca_LG_1:34057806-34059326|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02265.1|Ca_LG_1:34063165-34066028|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02266.1|Ca_LG_1:34090569-34091009|minus|,6,12,15,10,68,56,75,102,36,42,18,56,23,37,15,4
Ca_02267.1|Ca_LG_1:34128595-34133745|minus|,151,126,102,204,211,228,153,146,157,422,175,121,13,27,40,0
Ca_02268.1|Ca_LG_1:34141104-34145410|plus|,68,116,55,92,129,125,149,138,134,307,150,88,35,23,28,2
Ca_02269.1|Ca_LG_1:34147813-34148259|minus|,26,31,8,34,3,4,0,0,4,8,3,0,0,0,0,0
Ca_02270.1|Ca_LG_1:34151330-34156578|minus|,144,170,144,189,238,231,223,253,296,369,211,180,61,87,91,11
Ca_02271.1|Ca_LG_1:34168562-34169334|minus|,757,558,741,976,1218,604,1435,1326,925,1317,713,518,384,369,408,33
Ca_02272.1|Ca_LG_1:34178906-34180937|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02273.1|Ca_LG_1:34212360-34214257|minus|,18,43,23,21,8,17,29,10,26,52,12,3,0,0,1,0
Ca_02274.1|Ca_LG_1:34227153-34232917|plus|,78,133,64,77,17,38,52,30,55,216,75,14,0,0,0,0
Ca_02275.1|Ca_LG_1:34243283-34247543|minus|,1667,2245,1899,1414,3078,2594,4491,1882,2376,4935,2407,1257,173,260,325,59
Ca_02276.1|Ca_LG_1:34254135-34257551|plus|,373,485,324,442,1254,1052,1079,1084,1157,2175,1209,641,142,178,221,12
Ca_02277.1|Ca_LG_1:34259337-34260834|plus|,75,221,71,76,109,145,236,50,220,582,283,37,7,6,7,0
Ca_02278.1|Ca_LG_1:34262668-34264953|minus|,125,174,123,157,234,221,359,171,353,646,325,116,72,109,128,13
Ca_02279.1|Ca_LG_1:34268008-34268673|plus|,176,61,35,81,27,23,32,17,36,62,42,7,0,0,1,0
Ca_02280.1|Ca_LG_1:34269300-34271588|minus|,1,2,5,3,0,1,2,0,1,0,0,1,0,0,1,0
Ca_02281.1|Ca_LG_1:34275650-34278699|minus|,187,227,281,390,135,241,499,133,350,777,491,77,99,50,180,3
Ca_02282.1|Ca_LG_1:34282681-34287743|plus|,228,185,235,335,43,94,113,103,135,256,147,36,24,31,24,3
Ca_02283.1|Ca_LG_1:34293217-34301632|minus|,217,255,191,244,266,213,299,276,313,626,330,126,32,23,74,9
Ca_02284.1|Ca_LG_1:34303559-34305752|minus|,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02285.1|Ca_LG_1:34318469-34320081|plus|,100,162,89,106,190,148,244,110,284,542,175,96,17,31,54,0
Ca_02286.1|Ca_LG_1:34321848-34324886|minus|,557,741,370,486,652,322,483,321,599,1359,624,171,22,24,29,6
Ca_02287.1|Ca_LG_1:34327427-34328552|minus|,27,67,34,26,6,9,19,66,9,20,9,18,3,1,14,0
Ca_02288.1|Ca_LG_1:34331965-34337913|minus|,124,148,105,143,926,192,588,193,368,915,412,373,41,112,62,13
Ca_02289.1|Ca_LG_1:34363006-34363490|minus|,22,7,12,35,8,19,5,23,6,9,7,1,1,4,17,0
Ca_02290.1|Ca_LG_1:34363730-34367427|plus|,137,145,104,112,119,57,125,47,143,294,132,30,49,46,53,7
Ca_02291.1|Ca_LG_1:34368731-34378100|minus|,1460,1052,1174,2276,3949,1217,3497,2342,4518,3406,1632,2344,154,586,187,29
Ca_02292.1|Ca_LG_1:34385890-34392695|plus|,145,279,104,112,1170,277,1788,188,1079,2200,916,548,12,24,31,3
Ca_02293.1|Ca_LG_1:34394322-34395734|plus|,1432,6014,4069,2059,88635,42153,120479,84701,71202,135486,64961,36045,29553,48495,38216,3508
Ca_02294.1|Ca_LG_1:34401861-34406960|plus|,34,41,29,29,11,20,52,5,48,86,35,4,0,0,0,0
Ca_02295.1|Ca_LG_1:34408087-34411235|plus|,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ca_02296.1|Ca_LG_1:34411707-34414639|minus|,4,10,0,2,12,0,0,0,7,22,6,0,0,0,0,0
Ca_02297.1|Ca_LG_1:34418409-34420139|minus|,40,90,42,88,292,271,147,140,131,422,176,113,13,43,31,0
Ca_02298.1|Ca_LG_1:34422459-34428749|minus|,243,303,204,303,150,252,247,172,181,554,228,81,50,41,70,8
Ca_02299.1|Ca_LG_1:34458314-34465813|plus|,596,789,399,538,164,174,325,95,201,691,250,75,49,33,46,0
Ca_02300.1|Ca_LG_1:34484020-34485630|plus|,59,97,81,65,70,116,71,92,42,113,31,11,5,3,6,1
Ca_02301.1|Ca_LG_1:34489714-34490823|plus|,5,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0
Ca_02302.1|Ca_LG_1:34491025-34493117|minus|,144,173,52,199,12,18,19,12,68,73,23,0,0,0,0,0
Ca_02303.1|Ca_LG_1:34503257-34507430|minus|,515,577,478,439,988,883,1159,735,990,2444,1135,451,88,136,127,10
Ca_02304.1|Ca_LG_1:34513935-34514494|plus|,2,22,6,7,4,3,11,3,1,15,13,14,0,0,1,0
Ca_02305.1|Ca_LG_1:34517444-34534269|plus|,91,163,135,118,46,69,74,45,96,231,143,16,2,7,6,1
Ca_02306.1|Ca_LG_1:34534848-34535063|minus|,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0
Ca_02307.1|Ca_LG_1:34543512-34545191|plus|,122,169,106,139,83,160,97,140,71,238,150,24,17,8,25,2
Ca_02308.1|Ca_LG_1:34554558-34557688|minus|,26,67,27,11,60,97,66,50,235,277,140,83,0,1,3,0
Ca_02309.1|Ca_LG_1:34564697-34565740|minus|,25,58,5,1,0,0,3,0,6,18,2,0,0,0,0,0
Ca_02310.1|Ca_LG_1:34577147-34583349|minus|,208,233,220,208,448,425,421,500,493,771,421,332,172,256,274,13
Ca_02311.1|Ca_LG_1:34586178-34590996|plus|,128,151,103,154,145,109,137,93,127,304,144,54,8,19,12,0
Ca_02312.1|Ca_LG_1:34594801-34596228|plus|,158,162,160,137,481,402,461,441,457,703,367,271,101,122,218,15
Ca_02313.1|Ca_LG_1:34597711-34600146|minus|,965,1072,745,1102,1800,2103,2130,1815,1726,3823,2218,1032,199,279,376,21
Ca_02314.1|Ca_LG_1:34604090-34607093|plus|,59,81,52,71,72,55,58,62,97,154,82,39,7,24,7,0
Ca_02315.1|Ca_LG_1:34609506-34610889|minus|,21,13,25,13,4,1,10,3,154,30,9,18,18,8,20,0
Ca_02316.1|Ca_LG_1:34618527-34619944|minus|,148,122,126,151,323,342,412,218,870,1509,568,180,40,50,130,4
Ca_02317.1|Ca_LG_1:34626666-34628874|plus|,696,2270,385,843,1342,1060,2790,791,1879,5296,2597,607,3,11,14,5
Ca_02318.1|Ca_LG_1:34630657-34631162|minus|,10,70,10,4,20,9,30,2,17,57,10,10,0,0,0,0
Ca_02319.1|Ca_LG_1:34631779-34637891|minus|,58,139,42,61,12,5,16,5,26,19,42,1,0,0,0,0
Ca_02320.1|Ca_LG_1:34640519-34645240|plus|,171,315,229,195,307,412,415,364,406,947,518,184,84,58,109,3
Ca_02321.1|Ca_LG_1:34648041-34653745|plus|,138,193,92,95,37,38,78,28,127,329,161,12,3,0,2,0
Ca_02322.1|Ca_LG_1:34654318-34657226|minus|,12,30,8,0,168,108,26,70,128,351,213,64,0,0,10,0
Ca_02323.1|Ca_LG_1:34673464-34674882|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02324.1|Ca_LG_1:34690640-34692901|minus|,300,245,233,411,44,48,51,51,89,143,84,15,5,8,5,1
Ca_02325.1|Ca_LG_1:34693924-34696040|plus|,241,220,205,330,232,160,248,212,216,394,189,164,61,81,66,4
Ca_02326.1|Ca_LG_1:34705986-34706267|plus|,170,270,152,212,152,220,295,96,248,607,273,73,13,14,31,6
Ca_02327.1|Ca_LG_1:34709649-34721777|minus|,1037,1215,966,1121,1997,1709,2301,1537,1783,3839,2003,1028,222,301,334,23
Ca_02328.1|Ca_LG_1:34748446-34749521|plus|,3,10,0,58,5,57,4,36,5,73,3,3,0,0,0,0
Ca_02329.1|Ca_LG_1:34756521-34758137|plus|,4,9,2,6,9,5,10,6,3,17,4,0,0,0,0,0
Ca_02330.1|Ca_LG_1:34765980-34767313|minus|,6,6,1,1,558,734,349,627,385,824,434,506,18,68,64,0
Ca_02331.1|Ca_LG_1:34791801-34794219|plus|,10,26,9,7,11,14,4,25,10,17,16,12,0,0,8,0
Ca_02332.1|Ca_LG_1:34796021-34796479|plus|,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Ca_02333.1|Ca_LG_1:34798080-34800308|minus|,28,40,19,31,10,18,21,17,21,69,43,6,0,0,0,0
Ca_02334.1|Ca_LG_1:34802124-34802513|minus|,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02335.1|Ca_LG_1:34805303-34809309|plus|,485,760,478,455,1136,808,1510,724,1046,2729,1347,501,81,87,116,19
Ca_02336.1|Ca_LG_1:34809756-34813449|minus|,1,13,4,2,2,0,0,2,1,11,0,0,0,0,0,0
Ca_02337.1|Ca_LG_1:34834867-34840968|plus|,164,298,103,177,15,12,96,6,44,96,64,0,0,0,0,0
Ca_02338.1|Ca_LG_1:34851554-34852540|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02339.1|Ca_LG_1:34853676-34858820|plus|,2507,2400,1862,2393,2746,2558,3075,2335,2187,4837,2559,838,249,374,420,39
Ca_02340.1|Ca_LG_1:34860137-34866369|plus|,23,96,16,20,13,25,38,30,26,74,34,14,2,3,5,0
Ca_02341.1|Ca_LG_1:34874230-34876424|minus|,203,482,178,338,7754,5069,8894,8839,6774,4771,2669,3240,1650,3262,1225,287
Ca_02342.1|Ca_LG_1:34886704-34888984|minus|,386,1288,306,510,778,949,1167,747,895,2406,1224,108,27,7,34,0
Ca_02343.1|Ca_LG_1:34892834-34894922|plus|,1651,3790,1176,1588,2432,3835,4736,2177,3362,8925,4606,662,63,93,99,6
Ca_02344.1|Ca_LG_1:34900460-34907029|plus|,144,154,171,143,54,65,118,25,197,521,227,7,3,0,2,0
Ca_02345.1|Ca_LG_1:34911936-34912859|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02346.1|Ca_LG_1:34921735-34926499|minus|,201,282,203,281,88,73,117,59,104,261,113,42,29,38,102,5
Ca_02347.1|Ca_LG_1:34926660-34928036|plus|,84,149,68,82,46,61,111,32,91,383,94,20,6,18,12,1
Ca_02348.1|Ca_LG_1:34931186-34936778|plus|,164,223,160,206,246,300,238,282,224,578,297,147,54,48,87,3
Ca_02349.1|Ca_LG_1:34937802-34944742|minus|,410,245,338,424,16,5,20,2,38,103,28,3,0,0,0,0
Ca_02350.1|Ca_LG_1:34946227-34946793|minus|,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0
Ca_02351.1|Ca_LG_1:34961338-34961920|plus|,4,1,2,0,0,0,0,2,3,0,0,0,0,0,0,0
Ca_02352.1|Ca_LG_1:34969376-34974582|plus|,392,609,308,507,714,682,777,591,874,1481,646,452,97,153,152,23
Ca_02352.2|Ca_LG_1:34969376-34974582|plus|,157,109,169,115,410,214,378,343,324,602,204,293,85,124,158,3
Ca_02353.1|Ca_LG_1:34976146-34984370|minus|,639,721,614,582,656,704,960,651,964,2215,933,320,214,322,245,49
Ca_02354.1|Ca_LG_1:34986104-34991179|plus|,256,236,247,326,594,429,580,642,774,832,421,529,333,642,299,65
Ca_02355.1|Ca_LG_1:35005230-35007829|plus|,356,460,269,579,449,408,433,649,400,747,353,335,151,297,263,11
Ca_02356.1|Ca_LG_1:35009531-35012428|plus|,532,1147,442,688,947,837,1444,670,983,2358,1334,140,9,15,30,2
Ca_02357.1|Ca_LG_1:35014359-35016702|plus|,463,1373,340,620,706,704,1008,497,766,1834,1038,129,20,37,31,1
Ca_02358.1|Ca_LG_1:35054718-35071382|minus|,141,399,80,104,91,171,331,122,346,906,338,16,9,7,12,0
Ca_02359.1|Ca_LG_1:35074171-35075968|minus|,131,138,64,161,9,8,13,3,38,80,21,3,6,1,7,0
Ca_02360.1|Ca_LG_1:35076675-35080071|minus|,77,113,83,66,24,2,38,2,46,121,29,18,0,2,1,0
Ca_02361.1|Ca_LG_1:35088519-35092000|plus|,47,65,25,26,11,6,16,1,15,56,10,2,0,0,0,0
Ca_02362.1|Ca_LG_1:35102358-35105477|plus|,2602,937,2211,2196,7317,1581,6741,8914,10896,5812,3807,4157,4088,3974,2042,450
Ca_02363.1|Ca_LG_1:35107015-35111550|minus|,267,224,221,350,451,306,326,487,374,475,210,218,45,82,60,5
Ca_02364.1|Ca_LG_1:35120226-35127231|minus|,11,10,12,5,3,1,6,1,10,19,15,6,2,2,10,0
Ca_02365.1|Ca_LG_1:35141146-35147046|minus|,56,54,36,139,65,139,72,36,92,269,185,33,2,0,2,0
Ca_02366.1|Ca_LG_1:35151178-35153938|minus|,0,0,0,85,0,2,0,1,0,0,2,0,0,0,0,0
Ca_02367.1|Ca_LG_1:35155861-35161971|minus|,586,632,521,530,95,138,113,43,469,1188,426,5,0,0,0,0
Ca_02368.1|Ca_LG_1:35166709-35169416|minus|,0,0,0,39,11,1,15,1,4,37,1,0,0,0,0,0
Ca_02369.1|Ca_LG_1:35185375-35191578|plus|,152,165,133,173,220,256,379,262,268,706,282,152,20,32,48,3
Ca_02370.1|Ca_LG_1:35196796-35201492|plus|,928,1477,393,1332,2869,2275,4423,4790,1042,4794,3360,582,233,71,179,10
Ca_02371.1|Ca_LG_1:35202753-35208357|plus|,298,248,268,376,547,695,731,511,537,1756,858,447,53,30,96,4
Ca_02372.1|Ca_LG_1:35215270-35223861|plus|,0,2,0,1,239,201,248,245,207,153,399,67,108,156,257,22
Ca_02373.1|Ca_LG_1:35237196-35238681|minus|,1829,1596,1386,1693,938,519,962,621,867,1812,945,178,5,24,27,1
Ca_02374.1|Ca_LG_1:35242079-35250995|minus|,127,178,96,173,320,328,329,292,260,545,323,131,37,46,65,5
Ca_02375.1|Ca_LG_1:35252467-35254557|minus|,1,1,1,1,1,0,8,0,0,0,0,0,0,0,0,0
Ca_02376.1|Ca_LG_1:35259248-35259526|plus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02377.1|Ca_LG_1:35264391-35266194|minus|,0,0,0,1,1,0,1,0,0,3,0,0,0,1,0,0
Ca_02378.1|Ca_LG_1:35291715-35293348|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02379.1|Ca_LG_1:35303050-35307105|plus|,15,24,8,29,413,221,107,295,130,272,174,111,23,35,42,7
Ca_02380.1|Ca_LG_1:35309527-35315329|plus|,65,116,72,93,71,92,115,59,153,322,147,53,6,12,32,0
Ca_02381.1|Ca_LG_1:35317017-35318552|plus|,0,2,0,1,0,0,0,0,1,2,1,0,0,0,0,0
Ca_02382.1|Ca_LG_1:35321856-35328023|plus|,58,123,95,67,5,29,25,8,21,133,56,1,2,0,4,0
Ca_02383.1|Ca_LG_1:35328897-35329975|minus|,5,12,5,5,15,17,33,15,17,52,22,5,2,0,2,0
Ca_02384.1|Ca_LG_1:35330748-35333910|plus|,20,15,14,28,33,41,34,20,40,244,45,25,5,7,20,0
Ca_02385.1|Ca_LG_1:35337849-35344984|plus|,353,462,439,403,8855,6584,5919,8307,3522,6120,3499,6298,246,725,308,74
Ca_02386.1|Ca_LG_1:35346063-35348427|plus|,88,119,108,168,24,44,55,23,85,184,87,17,1,1,9,0
Ca_02387.1|Ca_LG_1:35349411-35351621|minus|,45,146,51,66,173,89,96,125,81,219,105,54,20,39,20,2
Ca_02388.1|Ca_LG_1:35357251-35359134|minus|,0,0,0,0,66,20,21,10,21,13,15,73,2,1,1,0
Ca_02389.1|Ca_LG_1:35374289-35378994|minus|,45,85,14,32,86,106,86,63,98,236,137,52,16,18,22,2
Ca_02390.1|Ca_LG_1:35389385-35389961|plus|,1,4,0,8,1226,697,758,770,831,727,373,300,50,175,62,6
Ca_02391.1|Ca_LG_1:35393944-35394726|minus|,0,18,5,0,19,14,11,39,33,14,3,22,17,48,25,3
Ca_02392.1|Ca_LG_1:35423501-35426187|minus|,12,18,21,25,30,22,86,68,93,26,10,15,129,283,369,22
Ca_02393.1|Ca_LG_1:35427044-35431929|minus|,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02394.1|Ca_LG_1:35433105-35441096|plus|,85,124,78,104,119,90,148,94,185,315,174,60,48,71,65,5
Ca_02395.1|Ca_LG_1:35443495-35446940|plus|,0,5,0,8,0,1,6,5,1,0,1,0,0,0,0,0
Ca_02396.1|Ca_LG_1:35449292-35451871|minus|,0,0,0,2,0,0,0,1,1,3,0,0,0,0,0,0
Ca_02397.1|Ca_LG_1:35465828-35470323|plus|,126,498,100,207,186,323,255,221,250,395,195,193,8,10,11,0
Ca_02398.1|Ca_LG_1:35472068-35473487|plus|,8,10,9,5,92,66,107,76,85,223,110,97,28,43,37,2
Ca_02399.1|Ca_LG_1:35473883-35476258|minus|,733,690,416,859,48,37,67,57,69,174,42,7,0,0,0,0
Ca_02400.1|Ca_LG_1:35477201-35478780|minus|,169,223,113,240,198,309,335,139,384,1328,663,128,0,1,4,0
Ca_02401.1|Ca_LG_1:35493717-35497424|minus|,366,588,318,564,358,226,489,216,332,918,439,154,11,10,14,1
Ca_02402.1|Ca_LG_1:35498969-35501802|plus|,90,114,83,117,106,133,115,84,107,330,133,64,11,12,18,0
Ca_02403.1|Ca_LG_1:35503093-35504349|plus|,6,30,6,5,7,6,7,1,8,21,10,3,0,0,0,0
Ca_02404.1|Ca_LG_1:35515430-35518933|plus|,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Ca_02405.1|Ca_LG_1:35521525-35526412|plus|,80,140,54,132,173,152,197,71,100,368,200,93,0,0,0,0
Ca_02406.1|Ca_LG_1:35529086-35533827|plus|,133,150,98,182,40,53,58,20,79,204,62,11,0,0,0,0
Ca_02407.1|Ca_LG_1:35536741-35538268|minus|,133,304,119,117,209,198,366,167,237,578,279,29,2,4,3,0
Ca_02408.1|Ca_LG_1:35539930-35541636|minus|,23,70,20,12,494,125,349,253,290,465,184,91,184,535,61,47
Ca_02409.1|Ca_LG_1:35552849-35553769|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02410.1|Ca_LG_1:35562369-35564078|minus|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ca_02411.1|Ca_LG_1:35579303-35580726|plus|,3,3,1,2,11,16,7,15,19,9,7,14,0,1,2,0
Ca_02412.1|Ca_LG_1:35582260-35588496|minus|,86,92,60,85,16,23,47,22,40,83,20,9,1,5,10,0
Ca_02413.1|Ca_LG_1:35593727-35594194|minus|,64,66,45,60,14,24,19,33,48,26,5,1,0,0,0,0
Ca_02414.1|Ca_LG_1:35605598-35605897|minus|,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ca_02415.1|Ca_LG_1:35616298-35618491|plus|,0,0,0,0,56,99,23,96,39,63,6,27,0,0,0,0
Ca_02416.1|Ca_LG_1:35621895-35627288|plus|,117,145,95,112,104,146,138,111,143,365,183,65,9,0,15,0
Ca_02417.1|Ca_LG_1:35629891-35633605|plus|,66,89,42,43,42,18,38,11,41,119,38,8,0,0,0,0
Ca_02418.1|Ca_LG_1:35635338-35636069|plus|,10,21,8,15,151,63,70,117,45,62,36,52,3,7,9,1
Ca_02419.1|Ca_LG_1:35639894-35640380|minus|,35,53,55,62,71,53,85,110,97,119,53,56,4,15,8,0
Ca_02420.1|Ca_LG_1:35664970-35676777|plus|,24,11,2,23,75,94,51,40,86,225,89,64,1,0,7,0
Ca_02421.1|Ca_LG_1:35688325-35689655|minus|,169,179,95,213,16,23,66,17,89,129,37,7,0,0,2,0
Ca_02422.1|Ca_LG_1:35700720-35702050|plus|,132,161,127,123,186,217,278,120,272,638,339,139,16,13,32,0
Ca_02423.1|Ca_LG_1:35705453-35708011|plus|,0,14,2,4,7,11,7,3,3,33,8,2,1,3,5,0
Ca_02424.1|Ca_LG_1:35717089-35717889|plus|,56,35,35,42,18,20,31,9,26,78,24,6,0,1,0,0
Ca_02425.1|Ca_LG_1:35718638-35720224|minus|,3,13,1,9,0,3,6,5,3,6,3,0,0,0,0,0
Ca_02426.1|Ca_LG_1:35725703-35729146|minus|,13,30,18,8,4,3,21,3,23,44,19,1,0,1,3,1
Ca_02427.1|Ca_LG_1:35741412-35745607|plus|,0,0,0,0,14,7,6,12,3,4,3,2,2,1,1,0
Ca_02428.1|Ca_LG_1:35747009-35747713|minus|,0,0,0,0,0,4,0,3,0,3,4,0,0,0,0,0
Ca_02429.1|Ca_LG_1:35749353-35754418|plus|,189,268,168,185,228,207,314,221,323,695,349,120,28,45,58,6
Ca_02430.1|Ca_LG_1:35756783-35758144|plus|,1,8,2,4,0,0,0,0,0,1,0,0,4,3,4,0
Ca_02431.1|Ca_LG_1:35764245-35766096|minus|,196,408,156,156,244,179,374,408,297,460,193,150,254,449,325,32
Ca_02432.1|Ca_LG_1:35786719-35789883|plus|,170,194,163,206,90,108,269,61,262,398,135,20,0,0,0,0
Ca_02433.1|Ca_LG_1:35795656-35799584|plus|,39,51,11,12,6,5,27,0,29,26,15,0,0,0,0,0
Ca_02434.1|Ca_LG_1:35800059-35803568|minus|,8,59,15,7,87,63,129,61,101,203,73,62,10,13,42,0
Ca_02435.1|Ca_LG_1:35808586-35811132|plus|,1384,1619,1374,1740,2043,1960,2900,1775,2273,4670,2084,1046,226,306,433,48
Ca_02436.1|Ca_LG_1:35812676-35817115|plus|,75,112,49,73,18,23,22,17,15,31,17,7,11,1,6,0
Ca_02437.1|Ca_LG_1:35820817-35823607|plus|,16,43,25,22,36,27,45,16,30,153,70,11,0,0,1,0
Ca_02438.1|Ca_LG_1:35824243-35825192|minus|,4,4,1,19,0,0,2,4,3,1,0,0,0,0,0,0
Ca_02439.1|Ca_LG_1:35838777-35841258|minus|,46,48,26,11,1,0,4,0,10,1,0,1,0,0,0,0
Ca_02440.1|Ca_LG_1:35849612-35851148|minus|,14,71,22,24,4,5,5,1,10,12,3,0,0,0,0,0
Ca_02441.1|Ca_LG_1:35851716-35857263|minus|,43,148,36,21,3,0,0,17,40,3,0,0,0,1,0,0
Ca_02442.1|Ca_LG_1:35859742-35862908|minus|,176,121,177,199,341,231,375,167,448,762,331,110,19,30,40,6
Ca_02443.1|Ca_LG_1:35879545-35880294|plus|,17,46,27,41,40,32,33,46,58,43,19,7,0,0,1,0
Ca_02444.1|Ca_LG_1:35880620-35890258|minus|,410,467,378,526,266,215,285,179,257,683,366,80,16,13,22,2
Ca_02445.1|Ca_LG_1:35893910-35894851|minus|,7,6,6,8,5,0,4,6,4,11,5,8,0,6,17,0
Ca_02446.1|Ca_LG_1:35897652-35899489|plus|,47,83,36,44,41,78,65,61,49,124,58,22,5,35,9,4
Ca_02447.1|Ca_LG_1:35901230-35901990|minus|,142,107,67,160,131,109,93,81,84,275,127,58,1,14,4,0
Ca_02448.1|Ca_LG_1:35909548-35911017|plus|,1319,731,910,1667,1169,562,812,652,478,1691,556,79,102,63,79,17
Ca_02449.1|Ca_LG_1:35913503-35915149|minus|,1,5,1,3,3,6,6,2,4,7,2,0,0,0,0,0
Ca_02450.1|Ca_LG_1:35919748-35920038|plus|,1,4,1,1,163,38,15,68,14,50,21,18,0,0,0,6
Ca_02451.1|Ca_LG_1:35935012-35940933|plus|,51,182,37,56,7,14,38,11,26,89,37,2,0,0,0,0
Ca_02452.1|Ca_LG_1:35942350-35943453|plus|,8,23,16,0,0,0,1,0,2,2,0,0,0,0,0,0
Ca_02453.1|Ca_LG_1:35950849-35953418|plus|,101,182,151,115,963,851,902,969,1442,1619,665,595,173,383,461,25
Ca_02454.1|Ca_LG_1:35964871-35965881|plus|,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
